		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
K - 14 (1)	Summary	84.790	2669	0.907	27.039
K - 15 (1)	Summary	85.317	2537	0.908	27.469
K - 16 (1)	Summary	84.664	2810	0.910	27.037
K - 17 (1)	Summary	80.907	2556	0.909	27.133
K - 18 (1)	Summary	81.613	2731	0.899	27.295
K - 19 (1)	Summary	84.334	2479	0.906	27.516
K - 20 (1)	Summary	85.018	2716	0.900	26.174
K - 21 (1)	Summary	82.016	2543	0.910	27.629
K - 22 (1)	Summary	83.959	2806	0.909	27.036
L - 3 (1)	Summary	86.929	2881	0.905	27.310
L - 4 (1)	Summary	83.329	2828	0.898	26.975
L - 5 (1)	Summary	84.723	2627	0.900	27.040
L - 6 (1)	Summary	84.549	2642	0.902	26.686
L - 7 (1)	Summary	85.932	2764	0.899	26.148
L - 8 (1)	Summary	92.230	2910	0.897	26.817
L - 9 (1)	Summary	82.674	2740	0.894	25.839
L - 10 (1)	Summary	83.625	2845	0.901	26.721
L - 11 (1)	Summary	84.675	2518	0.902	26.835
L - 12 (1)	Summary	81.548	2671	0.904	27.566
L - 13 (1)	Summary	86.662	2835	0.905	26.335
L - 14 (1)	Summary	85.837	2403	0.897	26.626
L - 15 (1)	Summary	82.771	2736	0.908	26.500
L - 16 (1)	Summary	79.060	2585	0.922	28.055
L - 17 (1)	Summary	87.752	2583	0.906	27.237
L - 18 (1)	Summary	83.626	2900	0.904	27.269
L - 19 (1)	Summary	88.326	2530	0.900	29.844
L - 20 (1)	Summary	80.562	2932	0.909	27.169
L - 21 (1)	Summary	86.473	2894	0.899	24.009
L - 22 (1)	Summary	79.616	2700	0.909	27.185
M - 3 (1)	Summary	83.527	2352	0.913	27.746
M - 4 (1)	Summary	83.715	2452	0.898	28.571
M - 5 (1)	Summary	82.659	2530	0.909	27.719
M - 6 (1)	Summary	84.817	2703	0.904	26.651
M - 7 (1)	Summary	84.926	2856	0.903	26.696
M - 8 (1)	Summary	91.450	2731	0.892	27.420
M - 9 (1)	Summary	82.050	2542	0.905	26.366
M - 10 (1)	Summary	82.889	2784	0.904	26.230
M - 11 (1)	Summary	84.609	2731	0.920	28.458
M - 12 (1)	Summary	84.719	2821	0.905	28.989
M - 13 (1)	Summary	82.147	2874	0.904	26.962
M - 14 (1)	Summary	85.091	2540	0.917	27.464
M - 15 (1)	Summary	82.484	2619	0.916	28.224
M - 16 (1)	Summary	85.979	2767	0.911	27.166
M - 17 (1)	Summary	85.874	2463	0.913	27.387
M - 18 (1)	Summary	82.326	2590	0.906	27.004
M - 19 (1)	Summary	82.957	2606	0.911	27.031
M - 20 (1)	Summary	81.693	2937	0.897	26.868
M - 21 (1)	Summary	79.726	2456	0.917	27.894
M - 22 (1)	Summary	84.571	2732	0.904	28.758
N - 3 (1)	Summary	83.388	2617	0.916	27.794
N - 4 (1)	Summary	83.105	2531	0.913	29.709
N - 5 (1)	Summary	84.226	2462	0.905	27.346
N - 6 (1)	Summary	86.839	2467	0.909	27.620
N - 7 (1)	Summary	87.284	3061	0.902	27.982
N - 8 (1)	Summary	89.335	2927	0.897	26.497
N - 9 (1)	Summary	83.388	2655	0.913	27.411
N - 10 (1)	Summary	84.510	2707	0.913	26.917
N - 11 (1)	Summary	85.373	2808	0.911	27.021
N - 12 (1)	Summary	85.282	2887	0.910	27.249
N - 13 (1)	Summary	86.921	2691	0.907	27.932
N - 14 (1)	Summary	83.636	2607	0.918	27.879
N - 15 (1)	Summary	86.784	2629	0.907	27.286
N - 16 (1)	Summary	84.750	2789	0.906	27.662
N - 17 (1)	Summary	83.892	2510	0.913	28.157
N - 18 (1)	Summary	83.257	2649	0.911	27.070
N - 19 (1)	Summary	84.015	2562	0.906	26.038
N - 20 (1)	Summary	80.778	2831	0.907	27.505
N - 21 (1)	Summary	81.058	2687	0.909	28.068
N - 22 (1)	Summary	81.244	2687	0.909	27.913
